record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
119,IE,256,10,1255,7.968,0.9206,0.9355,0.9062,0.9206
119,FIFO,256,10,1255,7.968,0.9206,0.9355,0.9062,0.9206
119,IE,256,20,755,13.245,0.9206,0.9355,0.9062,0.9206
119,FIFO,256,20,755,13.245,0.6122,0.8824,0.4688,0.9206
119,IE,256,50,455,21.978,0.9206,0.9355,0.9062,0.9206
119,FIFO,256,50,455,21.978,0.4186,0.8182,0.2812,0.9206
119,IE,512,5,2511,3.982,0.9206,0.9355,0.9062,0.9206
119,FIFO,512,5,2511,3.982,0.9062,0.9062,0.9062,0.9206
119,IE,512,10,1511,6.618,0.9206,0.9355,0.9062,0.9206
119,FIFO,512,10,1511,6.618,0.9524,0.9677,0.9375,0.9206
119,IE,512,20,1011,9.891,0.9206,0.9355,0.9062,0.9206
119,FIFO,512,20,1011,9.891,0.64,0.8889,0.5,0.9206
119,IE,512,50,711,14.065,0.9206,0.9355,0.9062,0.9206
119,FIFO,512,50,711,14.065,0.3137,0.4211,0.25,0.9206
122,IE,32,5,2031,4.924,0.988,1.0,0.9762,0.988
122,FIFO,32,5,2031,4.924,0.988,1.0,0.9762,0.988
122,IE,32,10,1031,9.699,0.988,1.0,0.9762,0.988
122,FIFO,32,10,1031,9.699,0.988,1.0,0.9762,0.988
122,IE,32,20,531,18.832,0.988,1.0,0.9762,0.988
122,FIFO,32,20,531,18.832,0.8493,1.0,0.7381,0.988
122,IE,32,50,231,43.29,0.988,1.0,0.9762,0.988
122,FIFO,32,50,231,43.29,0.4444,1.0,0.2857,0.988
122,IE,64,5,2063,4.847,0.988,1.0,0.9762,0.988
122,FIFO,64,5,2063,4.847,0.988,1.0,0.9762,0.988
122,IE,64,10,1063,9.407,0.988,1.0,0.9762,0.988
122,FIFO,64,10,1063,9.407,0.988,1.0,0.9762,0.988
122,IE,64,20,563,17.762,0.988,1.0,0.9762,0.988
122,FIFO,64,20,563,17.762,0.8649,1.0,0.7619,0.988
122,IE,64,50,263,38.023,0.988,1.0,0.9762,0.988
122,FIFO,64,50,263,38.023,0.6452,1.0,0.4762,0.988
122,IE,128,5,2127,4.701,0.988,1.0,0.9762,0.988
122,FIFO,128,5,2127,4.701,0.988,1.0,0.9762,0.988
122,IE,128,10,1127,8.873,0.988,1.0,0.9762,0.988
122,FIFO,128,10,1127,8.873,0.988,1.0,0.9762,0.988
122,IE,128,20,627,15.949,0.988,1.0,0.9762,0.988
122,FIFO,128,20,627,15.949,0.9367,1.0,0.881,0.988
122,IE,128,50,327,30.581,0.988,1.0,0.9762,0.988
122,FIFO,128,50,327,30.581,0.6,1.0,0.4286,0.988
122,IE,256,5,2255,4.435,0.988,1.0,0.9762,0.988
122,FIFO,256,5,2255,4.435,0.988,1.0,0.9762,0.988
122,IE,256,10,1255,7.968,0.988,1.0,0.9762,0.988
