alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.3,0.3,0.4,2,spikes,2,10.9984,1.810117e-03,0.7513,1.9361e-01,537,0
0.3,0.3,0.4,2,ecg,0,33.8490,5.393845e-11,0.8837,3.1667e-05,527,0
0.3,0.3,0.4,2,ecg,1,33.7236,5.551818e-11,0.8802,3.1667e-05,534,0
0.3,0.3,0.4,2,ecg,2,33.5149,5.825193e-11,0.8787,3.1667e-05,534,0
0.3,0.4,0.3,2,sine,0,24.0759,1.950569e-03,0.6905,1.9373e-01,537,0
0.3,0.4,0.3,2,sine,1,24.5148,1.763087e-03,0.6913,1.9373e-01,537,0
0.3,0.4,0.3,2,sine,2,24.3413,1.834949e-03,0.6947,1.9373e-01,533,0
0.3,0.4,0.3,2,chirp,0,23.1433,2.329545e-03,0.7236,2.1830e-01,537,0
0.3,0.4,0.3,2,chirp,1,23.5141,2.138888e-03,0.7260,2.1830e-01,537,0
0.3,0.4,0.3,2,chirp,2,23.4863,2.152618e-03,0.7299,2.1830e-01,530,0
0.3,0.4,0.3,2,spikes,0,10.8583,1.869455e-03,0.7569,1.9097e-01,534,0
0.3,0.4,0.3,2,spikes,1,10.8402,1.877269e-03,0.7562,1.9097e-01,533,0
0.3,0.4,0.3,2,spikes,2,10.9107,1.847025e-03,0.7527,1.9097e-01,534,0
0.3,0.4,0.3,2,ecg,0,33.5961,5.717286e-11,0.8782,3.3000e-05,531,0
0.3,0.4,0.3,2,ecg,1,33.6315,5.670894e-11,0.8802,3.0789e-05,534,0
0.3,0.4,0.3,2,ecg,2,33.8850,5.349315e-11,0.8852,2.8333e-05,533,0
0.3,0.5,0.2,2,sine,0,24.2481,1.874718e-03,0.6912,1.9373e-01,532,0
0.3,0.5,0.2,2,sine,1,24.6428,1.711869e-03,0.7100,1.9373e-01,534,0
0.3,0.5,0.2,2,sine,2,24.6014,1.728265e-03,0.7089,1.9373e-01,534,0
0.3,0.5,0.2,2,chirp,0,23.2439,2.276219e-03,0.7289,2.1830e-01,535,0
0.3,0.5,0.2,2,chirp,1,23.4720,2.159724e-03,0.7275,2.1830e-01,532,0
0.3,0.5,0.2,2,chirp,2,23.3033,2.245304e-03,0.7218,2.1830e-01,534,0
0.3,0.5,0.2,2,spikes,0,11.4448,1.633289e-03,0.7561,1.8030e-01,533,0
0.3,0.5,0.2,2,spikes,1,11.1549,1.746053e-03,0.7591,2.0428e-01,534,0
0.3,0.5,0.2,2,spikes,2,11.6229,1.567681e-03,0.7596,1.8030e-01,532,0
0.3,0.5,0.2,2,ecg,0,33.2792,6.150068e-11,0.8797,3.3000e-05,532,0
0.3,0.5,0.2,2,ecg,1,33.0221,6.525126e-11,0.8802,3.4444e-05,530,0
0.3,0.5,0.2,2,ecg,2,33.7412,5.529410e-11,0.8842,2.9643e-05,533,0
0.3,0.6,0.1,2,sine,0,24.2226,1.885778e-03,0.6879,1.9373e-01,534,0
0.3,0.6,0.1,2,sine,1,24.8039,1.649526e-03,0.6827,1.8571e-01,534,0
0.3,0.6,0.1,2,sine,2,24.2626,1.868470e-03,0.6949,1.9373e-01,534,0
0.3,0.6,0.1,2,chirp,0,23.3864,2.202702e-03,0.7122,2.1830e-01,530,0
0.3,0.6,0.1,2,chirp,1,23.5079,2.141976e-03,0.7140,2.1830e-01,537,0
0.3,0.6,0.1,2,chirp,2,23.3899,2.200944e-03,0.7047,2.1830e-01,536,0
0.3,0.6,0.1,2,spikes,0,11.3082,1.685478e-03,0.7499,2.3238e-01,534,0
0.3,0.6,0.1,2,spikes,1,11.2266,1.717442e-03,0.7503,2.3238e-01,534,0
0.3,0.6,0.1,2,spikes,2,11.0911,1.771866e-03,0.7644,2.3238e-01,523,0
0.3,0.6,0.1,2,ecg,0,33.9409,5.280880e-11,0.8822,3.0789e-05,535,0
0.3,0.6,0.1,2,ecg,1,33.3399,6.064709e-11,0.8772,4.0000e-05,531,0
0.3,0.6,0.1,2,ecg,2,33.3594,6.037476e-11,0.8787,4.0000e-05,534,0
0.4,0.1,0.5,2,sine,0,24.7537,1.668702e-03,0.7382,1.8306e-01,537,0
0.4,0.1,0.5,2,sine,1,24.8285,1.640228e-03,0.7327,1.8306e-01,532,0
0.4,0.1,0.5,2,sine,2,24.6805,1.697076e-03,0.7364,1.8306e-01,534,0
0.4,0.1,0.5,2,chirp,0,23.4978,2.146944e-03,0.7688,1.9823e-01,533,0
0.4,0.1,0.5,2,chirp,1,23.8950,1.959281e-03,0.7679,1.8266e-01,536,0
0.4,0.1,0.5,2,chirp,2,24.0153,1.905756e-03,0.7764,1.8707e-01,534,0
0.4,0.1,0.5,2,spikes,0,11.2351,1.714102e-03,0.7893,1.8282e-01,539,0
0.4,0.1,0.5,2,spikes,1,11.3281,1.677783e-03,0.7920,1.8282e-01,533,0
0.4,0.1,0.5,2,spikes,2,11.3610,1.665111e-03,0.7887,1.6322e-01,532,0
0.4,0.1,0.5,2,ecg,0,33.9150,5.312490e-11,0.8912,2.9000e-05,535,0
0.4,0.1,0.5,2,ecg,1,33.5945,5.719332e-11,0.8912,3.0000e-05,537,0
0.4,0.1,0.5,2,ecg,2,33.9799,5.233678e-11,0.8921,2.5000e-05,538,0
0.4,0.2,0.4,2,sine,0,24.3201,1.843915e-03,0.7153,1.7391e-01,535,0
0.4,0.2,0.4,2,sine,1,24.2267,1.884004e-03,0.7259,1.9373e-01,528,0
0.4,0.2,0.4,2,sine,2,24.3495,1.831463e-03,0.7257,1.9373e-01,527,0
0.4,0.2,0.4,2,chirp,0,22.9785,2.419611e-03,0.7630,2.1830e-01,537,0
0.4,0.2,0.4,2,chirp,1,23.5097,2.141066e-03,0.7600,2.1830e-01,536,0
0.4,0.2,0.4,2,chirp,2,23.3248,2.234210e-03,0.7650,2.1830e-01,534,0
0.4,0.2,0.4,2,spikes,0,11.1009,1.767869e-03,0.7751,1.4749e-01,534,0
0.4,0.2,0.4,2,spikes,1,11.3022,1.687817e-03,0.7775,1.4749e-01,533,0
0.4,0.2,0.4,2,spikes,2,11.1129,1.763014e-03,0.7745,1.9433e-01,534,0
0.4,0.2,0.4,2,ecg,0,33.6568,5.637973e-11,0.8882,2.9545e-05,537,0
