signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_101,ecg,64,5,463,4.319654427645788,3.423209731176752,19.42320973117675,3.5583444651475387,4.496473052767418,32.79355,2.29256944551194,1.4398848092152627
ecg_101,ecg,64,6,397,5.037783375314861,3.6527698666530437,19.652769866653045,4.1014337699953485,3.90107481853063,31.336561,2.711264889179923,1.6792611251049538
ecg_101,ecg,64,10,263,7.604562737642586,4.438058143935553,20.438058143935553,5.953256564072579,2.687604645927525,29.21499,3.461389723744559,2.534854245880862
ecg_101,ecg,64,20,163,12.269938650306749,5.204771457820872,21.204771457820872,9.25824731454488,1.728188873812401,25.655508,5.214643221908955,4.08997955010225
ecg_101,ecg,64,30,130,15.384615384615385,5.593155876895067,21.593155876895068,11.399623452782725,1.4035551319981794,23.371026,6.7834198823593885,5.128205128205129
ecg_101,ecg,64,50,103,19.41747572815534,5.942266245376491,21.94226624537649,14.158957337232634,1.1300267116368894,19.49213,10.60213915202934,6.472491909385114
ecg_101,ecg,128,2,1127,1.774622892635315,3.261168384879725,19.261168384879724,1.474155965764501,10.853668384879724,44.755783,0.5783767812180115,0.5915409642117717
ecg_101,ecg,128,3,794,2.5188916876574305,3.261168384879725,19.261168384879724,2.092410293975557,7.646683848797251,39.148268,1.1030281600045395,0.8396305625524769
ecg_101,ecg,128,4,627,3.189792663476874,3.261168384879725,19.261168384879724,2.6497189368685685,6.038376288659793,35.742709,1.6325427026583679,1.063264221158958
ecg_101,ecg,128,5,527,3.795066413662239,3.261168384879725,19.261168384879724,3.152511904016304,5.075317869415808,33.523235,2.107842952076438,1.2650221378874131
ecg_101,ecg,128,6,461,4.3383947939262475,3.4317906302274106,19.43179063022741,3.5722038191807957,4.479027740267418,32.341415,2.415067368854347,1.4461315979754157
ecg_101,ecg,128,10,327,6.116207951070336,3.9866361749789636,19.986636174978962,4.896237984240407,3.2678150146090603,29.945405,3.1822166959748097,2.038735983690112
ecg_101,ecg,128,20,227,8.810572687224669,4.716132881209264,20.716132881209262,6.80480106031092,2.3512810820172514,27.563694,4.186154953316572,2.9368575624082234
ecg_101,ecg,128,30,194,10.309278350515465,4.899383674139066,20.899383674139067,7.89250325177555,2.0272402163914895,26.076603,4.967865737494439,3.4364261168384878
ecg_101,ecg,128,50,167,11.976047904191617,5.163190105537737,21.163190105537737,9.054247753363319,1.767126373812401,23.609981,6.599346778399494,3.992015968063872
ecg_101,ecg,256,2,1255,1.593625498007968,3.261168384879725,19.261168384879724,1.323803803519197,12.086383161512027,46.25419,0.48673267278341903,0.5312084993359893
ecg_101,ecg,256,3,922,2.1691973969631237,3.261168384879725,19.261168384879724,1.8019238323390374,8.879398625429552,40.738079,0.9185357204103979,0.7230657989877078
ecg_101,ecg,256,4,755,2.6490066225165565,3.261168384879725,19.261168384879724,2.200495064127937,7.2710910652920955,37.575966,1.3219094279067998,0.8830022075055187
ecg_101,ecg,256,5,655,3.053435114503817,3.261168384879725,19.261168384879724,2.536448509032965,6.30803264604811,35.513344,1.6762268771889757,1.0178117048346056
ecg_101,ecg,256,6,589,3.395585738539898,3.261168384879725,19.261168384879724,2.820668545698799,5.672414089347079,34.442742,1.8961072552093468,1.1318619128466327
ecg_101,ecg,256,10,455,4.395604395604396,3.4579859462304094,19.45798594623041,3.6144373073357716,4.426691802767419,31.7086,2.5975863891208983,1.465201465201465
ecg_101,ecg,256,20,355,5.633802816901408,3.8372897812827493,19.83728978128275,4.544010097360876,3.521118936177688,30.151889,3.1074600214455748,1.8779342723004695
ecg_101,ecg,256,30,322,6.211180124223603,4.016038332123016,20.016038332123017,4.96496261341027,3.2225821714718057,29.284947,3.4336233209798848,2.070393374741201
