buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
512,10,1,PROPOSED,14.9920,0.9888,0.9989,0.9934,0.9920,0.9918,250,148,165,261,7.0000,824
512,10,1,RDP,17.1482,0.9933,0.9959,0.9976,0.9966,0.9965,76,174,246,328,19.0000,824
512,10,2,PROPOSED,15.0127,0.9888,0.9989,0.9934,0.9920,0.9920,250,148,165,262,7.0000,825
512,10,2,RDP,17.1668,0.9933,0.9959,0.9976,0.9966,0.9965,76,174,247,328,19.0000,825
512,10,3,PROPOSED,15.0127,0.9888,0.9989,0.9934,0.9920,0.9920,250,148,165,262,7.0000,825
512,10,3,RDP,17.1668,0.9933,0.9959,0.9976,0.9966,0.9965,76,174,247,328,19.0000,825
512,10,4,PROPOSED,15.0431,0.9889,0.9989,0.9934,0.9920,0.9920,250,148,166,262,7.0000,826
512,10,4,RDP,17.1733,0.9933,0.9959,0.9976,0.9966,0.9965,76,174,248,328,19.0000,826
512,15,0,PROPOSED,14.1078,0.9860,0.9964,0.9908,0.9907,0.9906,185,131,156,255,9.0000,727
512,15,0,RDP,15.2386,0.9903,0.9937,0.9954,0.9945,0.9948,61,159,212,295,20.0000,727
512,15,1,PROPOSED,14.0780,0.9858,0.9964,0.9908,0.9906,0.9903,185,131,155,254,9.0000,725
512,15,1,RDP,15.2143,0.9903,0.9937,0.9954,0.9942,0.9948,61,159,210,295,20.0000,725
512,15,2,PROPOSED,14.0961,0.9859,0.9964,0.9908,0.9906,0.9906,185,131,155,255,9.0000,726
512,15,2,RDP,15.2307,0.9903,0.9937,0.9954,0.9944,0.9948,61,159,211,295,20.0000,726
512,15,3,PROPOSED,14.0701,0.9857,0.9964,0.9908,0.9907,0.9903,185,131,154,254,9.0000,724
512,15,3,RDP,15.1989,0.9902,0.9937,0.9954,0.9941,0.9948,61,159,209,295,20.0000,724
512,15,4,PROPOSED,14.0719,0.9857,0.9965,0.9908,0.9906,0.9903,184,131,155,254,9.0000,724
512,15,4,RDP,15.1989,0.9902,0.9937,0.9954,0.9941,0.9948,61,159,209,295,20.0000,724
